날짜,QQQ 매수량,QQQ 매도량,QQQ 잔량,QQQ 종가,QQQ 매수 평균 가격,QQQ 종가치,TQQQ 매수량,TQQQ 매도량,TQQQ 잔량,TQQQ 종가,TQQQ 매수 평균 가격,TQQQ 종가치,예수금,총 평가액
2023-10-09,0,0,3,366.55999755859375,317.91433432616435,1099.6799926757812,0,0,3096,37.900001525878906,38.191940464202844,117338.4047241211,23.739513397216797,118461.82423019409
2023-10-10,0,0,3,368.5899963378906,317.91433432616435,1105.7699890136719,0,0,3096,38.52000045776367,38.191940464202844,119257.92141723633,23.739513397216797,120387.43091964722
2023-10-11,0,0,3,371.2200012207031,317.91433432616435,1113.6600036621094,0,0,3096,39.34000015258789,38.191940464202844,121796.64047241211,23.739513397216797,122934.03998947144
2023-10-12,0,0,3,369.92999267578125,317.91433432616435,1109.7899780273438,0,0,3096,38.880001068115234,38.191940464202844,120372.48330688477,23.739513397216797,121506.01279830933
2023-10-13,0,0,3,365.2799987792969,317.91433432616435,1095.8399963378906,0,0,3096,37.40999984741211,38.191940464202844,115821.35952758789,23.739513397216797,116940.939037323
2023-10-16,0,0,3,369.4100036621094,317.91433432616435,1108.2300109863281,0,0,3096,38.66999816894531,38.191940464202844,119722.31433105469,23.739513397216797,120854.28385543823
2023-10-17,0,0,3,368.20001220703125,317.91433432616435,1104.6000366210938,0,0,3096,38.29999923706055,38.191940464202844,118576.79763793945,23.739513397216797,119705.13718795776
2023-10-18,0,0,3,363.3699951171875,317.91433432616435,1090.1099853515625,0,0,3096,36.68000030517578,38.191940464202844,113561.28094482422,23.739513397216797,114675.130443573
2023-10-19,0,0,3,359.9700012207031,317.91433432616435,1079.9100036621094,0,0,3096,35.70000076293945,38.191940464202844,110527.20236206055,23.739513397216797,111630.85187911987
2023-10-20,0,0,3,354.6000061035156,317.91433432616435,1063.8000183105469,0,0,3096,34.09000015258789,38.191940464202844,105542.64047241211,23.739513397216797,106630.18000411987
2023-10-23,0,0,3,355.6700134277344,317.91433432616435,1067.0100402832031,0,0,3096,34.38999938964844,38.191940464202844,106471.43811035156,23.739513397216797,107562.18766403198
2023-10-24,0,0,3,359.1300048828125,317.91433432616435,1077.3900146484375,0,0,3096,35.36000061035156,38.191940464202844,109474.56188964844,23.739513397216797,110575.69141769409
2023-10-25,0,0,2,350.3399963378906,317.91433432616435,700.6799926757812,0,0,3107,32.77000045776367,38.1727446675917,101816.39142227173,13.609504699707031,102530.68091964722
2023-10-26,0,0,1,343.6600036621094,317.91433432616435,343.6600036621094,0,0,3118,30.860000610351562,38.146946019538575,96221.48190307617,17.80950164794922,96582.95140838623
2023-10-27,0,0,1,345.30999755859375,317.91433432616435,345.30999755859375,0,0,3118,31.299999237060547,38.146946019538575,97593.39762115479,17.80950164794922,97956.51712036133
2023-10-30,0,0,1,349.20001220703125,317.91433432616435,349.20001220703125,0,0,3118,32.310001373291016,38.146946019538575,100742.58428192139,17.80950164794922,101109.59379577637
2023-10-31,1,0,1,350.8699951171875,317.91433432616435,350.8699951171875,0,0,3118,32.779998779296875,38.146946019538575,102208.03619384766,17.80950164794922,102576.7156906128
2023-11-01,0,0,1,356.9599914550781,317.91433432616435,356.9599914550781,0,0,3118,34.470001220703125,38.146946019538575,107477.46380615234,17.80950164794922,107852.23329925537
2023-11-02,0,0,1,363.44000244140625,317.91433432616435,363.44000244140625,0,0,3118,36.29999923706055,38.146946019538575,113183.39762115479,17.80950164794922,113564.64712524414
2023-11-03,0,0,1,367.7099914550781,317.91433432616435,367.7099914550781,0,0,3118,37.58000183105469,38.146946019538575,117174.44570922852,17.80950164794922,117559.96520233154
2023-11-06,0,0,1,369.2099914550781,317.91433432616435,369.2099914550781,0,0,3118,38.0099983215332,38.146946019538575,118515.17476654053,17.80950164794922,118902.19425964355
2023-11-07,0,0,1,372.70001220703125,317.91433432616435,372.70001220703125,0,0,3118,39.08000183105469,38.146946019538575,121851.44570922852,17.80950164794922,122241.9552230835
2023-11-08,0,0,1,372.94000244140625,317.91433432616435,372.94000244140625,0,0,3118,39.150001525878906,38.146946019538575,122069.70475769043,17.80950164794922,122460.45426177979
2023-11-09,0,0,1,370.07000732421875,317.91433432616435,370.07000732421875,0,0,3118,38.220001220703125,38.146946019538575,119169.96380615234,17.80950164794922,119557.84331512451
